MEAN£¨ÈË¿ÚÃÜ¶È£©,rate
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
1014.98,0.0000370041 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
0.00,0.0000000000 
923.81,0.0000336801 
926.13,0.0000337648 
867.87,0.0000316407 
809.56,0.0000295148 
1322.88,0.0000482293 
1319.34,0.0000481004 
1361.24,0.0000496280 
1361.24,0.0000496280 
1361.24,0.0000496280 
979.42,0.0000357077 
868.30,0.0000316563 
1081.72,0.0000394371 
1014.34,0.0000369805 
1010.76,0.0000368500 
1010.76,0.0000368500 
1010.76,0.0000368500 
1010.76,0.0000368500 
1010.76,0.0000368500 
1156.32,0.0000421569 
1678.29,0.0000611870 
2187.90,0.0000797663 
2187.90,0.0000797663 
2186.20,0.0000797041 
1474.87,0.0000537706 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
928.25,0.0000338421 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
1047.05,0.0000381733 
0.00,0.0000000000 
0.00,0.0000000000 
874.69,0.0000318893 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
766.90,0.0000279594 
862.49,0.0000314446 
1282.98,0.0000467746 
1224.46,0.0000446412 
1165.91,0.0000425065 
746.21,0.0000272054 
746.21,0.0000272054 
881.56,0.0000321398 
1010.76,0.0000368500 
1010.76,0.0000368500 
1010.76,0.0000368500 
1010.76,0.0000368500 
1010.76,0.0000368500 
1010.76,0.0000368500 
1010.76,0.0000368500 
1173.36,0.0000427780 
1466.68,0.0000534720 
1377.01,0.0000502028 
1115.76,0.0000406784 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
934.52,0.0000340705 
888.02,0.0000323753 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
1033.90,0.0000376939 
1047.05,0.0000381733 
1047.05,0.0000381733 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
1011.31,0.0000368704 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
1020.94,0.0000372212 
0.00,0.0000000000 
0.00,0.0000000000 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
753.56,0.0000274731 
782.80,0.0000285391 
1006.47,0.0000366938 
1010.76,0.0000368500 
1010.76,0.0000368500 
1010.76,0.0000368500 
1010.76,0.0000368500 
1116.36,0.0000407001 
1217.75,0.0000443967 
1257.96,0.0000458625 
1257.96,0.0000458625 
1250.82,0.0000456022 
1216.14,0.0000443378 
1081.91,0.0000394440 
1006.64,0.0000366998 
999.97,0.0000364569 
984.79,0.0000359033 
905.97,0.0000330296 
885.39,0.0000322793 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
1014.36,0.0000369812 
1047.05,0.0000381733 
1492.92,0.0000544289 
1512.61,0.0000551465 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
1034.14,0.0000377027 
1020.37,0.0000372005 
1040.16,0.0000379218 
1040.16,0.0000379218 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
1060.09,0.0000386487 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
801.00,0.0000292028 
911.57,0.0000332340 
1010.76,0.0000368500 
1010.76,0.0000368500 
1027.62,0.0000374647 
1228.96,0.0000448054 
1257.96,0.0000458625 
1257.96,0.0000458625 
